geo_id,geo_id2,naics_id,naics_meaning,zip_code,location,year,num_establishments,num_paid_employees,first_quarter_payroll,annual_payroll
8610000US01368,1368,0,Total for all sectors,1368.0,"Royalston, MA",2016,9,37,146,681
8610000US01370,1370,0,Total for all sectors,1370.0,"Shelburne Falls, MA",2016,114,532,3475,15634
8610000US01373,1373,0,Total for all sectors,1373.0,"South Deerfield, MA",2016,143,2868,38220,154663
8610000US01375,1375,0,Total for all sectors,1375.0,"Sunderland, MA",2016,54,714,8537,40432
8610000US01376,1376,0,Total for all sectors,1376.0,"Turners Falls, MA",2016,97,1607,15594,64373
8610000US01378,1378,0,Total for all sectors,1378.0,"Warwick, MA",2016,5,13,42,329
8610000US01379,1379,0,Total for all sectors,1379.0,"Wendell, MA",2016,10,22,97,376
8610000US01380,1380,0,Total for all sectors,1380.0,"Wendell Depot, MA",2016,2,a,D,D
8610000US01420,1420,0,Total for all sectors,1420.0,"Fitchburg, MA",2016,765,10192,87807,377467
8610000US01430,1430,0,Total for all sectors,1430.0,"Ashburnham, MA",2016,91,615,5612,23608
8610000US01431,1431,0,Total for all sectors,1431.0,"Ashby, MA",2016,60,177,1428,6681
8610000US01432,1432,0,Total for all sectors,1432.0,"Ayer, MA",2016,233,3692,49543,214242
8610000US01434,1434,0,Total for all sectors,1434.0,"Devens, MA",2016,77,2860,49235,213501
8610000US01436,1436,0,Total for all sectors,1436.0,"Baldwinville, MA",2016,34,458,5456,23346
8610000US01438,1438,0,Total for all sectors,1438.0,"East Templeton, MA",2016,19,218,1789,11303
8610000US01440,1440,0,Total for all sectors,1440.0,"Gardner, MA",2016,403,6736,61657,266149
8610000US01441,1441,0,Total for all sectors,1441.0,"Westminster, MA",2016,10,f,D,D
8610000US01450,1450,0,Total for all sectors,1450.0,"Groton, MA",2016,211,2067,18949,83832
8610000US01451,1451,0,Total for all sectors,1451.0,"Harvard, MA",2016,132,675,10471,44796
8610000US01452,1452,0,Total for all sectors,1452.0,"Hubbardston, MA",2016,49,287,2213,10045
8610000US01453,1453,0,Total for all sectors,1453.0,"Leominster, MA",2016,1127,18451,167950,719199
8610000US01460,1460,0,Total for all sectors,1460.0,"Littleton, MA",2016,318,7816,176040,702597
8610000US01462,1462,0,Total for all sectors,1462.0,"Lunenburg, MA",2016,212,1878,16638,78563
8610000US01463,1463,0,Total for all sectors,1463.0,"Pepperell, MA",2016,208,1379,13012,59600
8610000US01464,1464,0,Total for all sectors,1464.0,"Shirley, MA",2016,121,1439,17691,79788
8610000US01467,1467,0,Total for all sectors,1467.0,"Still River, MA",2016,9,33,264,1277
8610000US01468,1468,0,Total for all sectors,1468.0,"Templeton, MA",2016,61,289,2313,11125
8610000US01469,1469,0,Total for all sectors,1469.0,"Townsend, MA",2016,129,1358,11319,48973
8610000US01471,1471,0,Total for all sectors,1471.0,"Groton, MA",2016,3,e,D,D
8610000US01472,1472,0,Total for all sectors,1472.0,"West Groton, MA",2016,10,373,6192,22447
8610000US01473,1473,0,Total for all sectors,1473.0,"Westminster, MA",2016,167,1369,15603,68228
8610000US01474,1474,0,Total for all sectors,1474.0,"West Townsend, MA",2016,27,121,881,4138
8610000US01475,1475,0,Total for all sectors,1475.0,"Winchendon, MA",2016,143,1156,8064,34202
8610000US01477,1477,0,Total for all sectors,1477.0,"Winchendon Springs, MA",2016,1,a,D,D
8610000US01501,1501,0,Total for all sectors,1501.0,"Auburn, MA",2016,597,11078,108390,468468
8610000US01503,1503,0,Total for all sectors,1503.0,"Berlin, MA",2016,81,373,3170,15866
8610000US01504,1504,0,Total for all sectors,1504.0,"Blackstone, MA",2016,132,768,6326,28653
8610000US01505,1505,0,Total for all sectors,1505.0,"Boylston, MA",2016,123,1343,14816,67786
8610000US01506,1506,0,Total for all sectors,1506.0,"Brookfield, MA",2016,42,158,1030,4557
8610000US01507,1507,0,Total for all sectors,1507.0,"Charlton, MA",2016,235,2122,22294,99940
8610000US01508,1508,0,Total for all sectors,1508.0,"Charlton City, MA",2016,23,327,1788,8817
8610000US01509,1509,0,Total for all sectors,1509.0,"Charlton Depot, MA",2016,4,13,142,837
8610000US01510,1510,0,Total for all sectors,1510.0,"Clinton, MA",2016,244,3384,40053,174017
8610000US01515,1515,0,Total for all sectors,1515.0,"East Brookfield, MA",2016,43,451,3181,13927
8610000US01516,1516,0,Total for all sectors,1516.0,"Douglas, MA",2016,127,755,6663,31614
8610000US01518,1518,0,Total for all sectors,1518.0,"Fiskdale, MA",2016,63,546,5049,23579
8610000US01519,1519,0,Total for all sectors,1519.0,"Grafton, MA",2016,101,1276,14048,62644
8610000US01520,1520,0,Total for all sectors,1520.0,"Holden, MA",2016,280,3065,27767,122214
8610000US01521,1521,0,Total for all sectors,1521.0,"Holland, MA",2016,19,69,409,1711
8610000US01522,1522,0,Total for all sectors,1522.0,"Jefferson, MA",2016,33,117,767,4294
8610000US01523,1523,0,Total for all sectors,1523.0,"Lancaster, MA",2016,124,2324,27618,111474
8610000US01524,1524,0,Total for all sectors,1524.0,"Leicester, MA",2016,108,1313,8365,36542
8610000US01525,1525,0,Total for all sectors,1525.0,"Linwood, MA",2016,22,197,1683,7848
8610000US01526,1526,0,Total for all sectors,1526.0,"Manchaug, MA",2016,10,49,445,1458
8610000US01527,1527,0,Total for all sectors,1527.0,"Millbury, MA",2016,301,4669,39509,174795
8610000US01529,1529,0,Total for all sectors,1529.0,"Millville, MA",2016,30,88,708,3512
8610000US01531,1531,0,Total for all sectors,1531.0,"New Braintree, MA",2016,18,34,230,1423
8610000US01532,1532,0,Total for all sectors,1532.0,"Northborough, MA",2016,503,8704,99025,413701
8610000US01534,1534,0,Total for all sectors,1534.0,"Northbridge, MA",2016,71,852,8678,40069
